utterance,intent,category,length
mungkin batal pesan saya buat,cancel_order,ORDER,5
pesan batal,cancel_order,ORDER,2
perlu bantu batal pesan akhir saya buat,cancel_order,ORDER,7
masalah batal pesan saya buat,cancel_order,ORDER,5
tidak tahu bagaimana batal pesan saya buat,cancel_order,ORDER,7
bisa bantu batal pesan saya buat,cancel_order,ORDER,6
ingin tahu batal pesan,cancel_order,ORDER,4
bisa bantu batal pesan,cancel_order,ORDER,4
bantu batal pesan akhir,cancel_order,ORDER,4
tidak tahu bagaimana batal pesan akhir saya buat,cancel_order,ORDER,8
butuh bantu batal pesan saya buat,cancel_order,ORDER,6
informasi batal pesan,cancel_order,ORDER,3
ingin batal pesan,cancel_order,ORDER,3
butuh bantu batal pesan,cancel_order,ORDER,4
butuh bantu batal pesan telah buat,cancel_order,ORDER,6
bantu batal pesan telah buat,cancel_order,ORDER,5
tanya batal pesan akhir,cancel_order,ORDER,4
bantu untuk batal pesan akhir,cancel_order,ORDER,5
masalah batal pesan,cancel_order,ORDER,3
bantu batal pesan saya buat,cancel_order,ORDER,5
milik masalah batal pesan,cancel_order,ORDER,4
tidak bayar pesan saya buat,cancel_order,ORDER,5
punya masalah batal pesan,cancel_order,ORDER,4
mana bisa dapat informasi batal pesan,cancel_order,ORDER,6
ingin bantu batal pesan telah buat,cancel_order,ORDER,6
batal pesan,cancel_order,ORDER,2
temu informasi batal pesan,cancel_order,ORDER,4
bisa beri informasi batal pesan,cancel_order,ORDER,5
punya tanya batal pesan akhir,cancel_order,ORDER,5
tidak tahu bagaimana batal pesan akhir,cancel_order,ORDER,6
milik masalah batal pesan akhir,cancel_order,ORDER,5
masalah batal pesan telah buat,cancel_order,ORDER,5
butuh bantu batal pesan akhir saya buat,cancel_order,ORDER,7
bagaimana cara temu informasi batal pesan,cancel_order,ORDER,6
ingin tahu lebih banyak batal pesan,cancel_order,ORDER,6
ingin bantu batal pesan,cancel_order,ORDER,4
bisa bantu batal pesan akhir telah buat,cancel_order,ORDER,7
beri informasi batal pesan,cancel_order,ORDER,4
bantu batal pesan,cancel_order,ORDER,3
punya tanya batal pesan,cancel_order,ORDER,4
mungkin batal pesan,cancel_order,ORDER,3
harus batal pesan akhir,cancel_order,ORDER,4
tanya batal pesan,cancel_order,ORDER,3
milik masalah batal pesan telah buat,cancel_order,ORDER,6
coba batal pesan saya buat,cancel_order,ORDER,5
perlu batal pesan,cancel_order,ORDER,3
bisa bantu batal pesan akhir saya buat,cancel_order,ORDER,7
mana bisa batal pesan saya buat,cancel_order,ORDER,6
tidak tahu bagaimana bisa batal pesan telah buat,cancel_order,ORDER,8
milik masalah batal pesan akhir saya buat,cancel_order,ORDER,7
bantu untuk batal pesan telah buat,cancel_order,ORDER,6
coba cari informasi batal pesan,cancel_order,ORDER,5
mana bisa batal pesan,cancel_order,ORDER,4
perlu bantu batal pesan saya buat,cancel_order,ORDER,6
mungkin batal pesan akhir saya buat,cancel_order,ORDER,6
tidak tahu bagaimana bisa batal pesan,cancel_order,ORDER,6
batal pesan telah buat,cancel_order,ORDER,4
tidak bayar pesan telah buat,cancel_order,ORDER,5
tidak bayar pesan,cancel_order,ORDER,3
mau beri informasi batal pesan,cancel_order,ORDER,5
bantu batal pesan akhir saya buat,cancel_order,ORDER,6
cari informasi batal pesan,cancel_order,ORDER,4
tidak tahu bagaimana bisa batal pesan akhir saya buat,cancel_order,ORDER,9
bagaimana bisa batal pesan akhir saya buat,cancel_order,ORDER,7
bagaimana cara batal pesan akhir saya buat,cancel_order,ORDER,7
tidak pesan saya buat,cancel_order,ORDER,4
bagaimana bisa batal pesan saya buat,cancel_order,ORDER,6
bagaimana cara batal pesan,cancel_order,ORDER,4
bisa bantu batal pesan akhir,cancel_order,ORDER,5
mana bisa batal pesan akhir,cancel_order,ORDER,5
bagaimana cara batal pesan saya buat,cancel_order,ORDER,6
tidak bayar pesan akhir saya buat,cancel_order,ORDER,6
perlu bantu batal pesan,cancel_order,ORDER,4
ingin informasi batal pesan,cancel_order,ORDER,4
tidak tahu bagaimana bisa batal pesan akhir,cancel_order,ORDER,7
coba batal pesan akhir,cancel_order,ORDER,4
tidak pesan,cancel_order,ORDER,2
ingin batal pesan akhir,cancel_order,ORDER,4
tidak tahu cara batal pesan,cancel_order,ORDER,5
harus batal pesan,cancel_order,ORDER,3
